fnum;f_id;aj;bnr;ba;koorx;koory;ahc;dec;d1;d2;dh2;htot;kag;ic1;ic2;ic3;ic4;ic5;ic6;bem;cond;fid_bid;fid_bid_aj;ahc_dec
CHOR11;11;2006;689;411;93.3;97.8;1;1;60;65;NA;NA;NA;3;3;3;5;4;6;F2;11_688;11_689;11_689_2006;11
CHOR11;11;2012;689;411;93.3;97.8;1;1;75;78;NA;NA;NA;3;2;3;5;6;4;G5-1;11_689;11_689;11_689_2012;11
CHOR11;11;2006;690;101;93;94.5;1;1;450;474;NA;NA;NA;1;1;1;4;4;6;F1;11_689;11_690;11_690_2006;11
CHOR11;11;2012;690;101;93;94.5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_690;11_690;11_690_2012;44
CHOR11;11;2006;691;101;95.3;98.5;1;1;450;455;NA;NA;NA;1;1;1;4;4;6;F1;11_690;11_691;11_691_2006;11
CHOR11;11;2012;691;101;95.3;98.5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_691;11_691;11_691_2012;44
CHOR11;11;2006;692;101;97.1;96.4;3;7;330;298;NA;NA;NA;NA;NA;NA;NA;NA;NA;F4;11_691;11_692;11_692_2006;37
CHOR11;11;2012;692;101;97.1;96.4;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_692;11_692;11_692_2012;99
CHOR11;11;2006;693;411;97.4;98.3;1;1;70;75;NA;NA;NA;3;3;3;5;6;6;F1;11_692;11_693;11_693_2006;11
CHOR11;11;2012;693;411;97.4;98.3;1;1;120;110;NA;NA;NA;3;1;1;5;6;4;;11_693;11_693;11_693_2012;11
CHOR11;11;2006;694;101;95.3;91.5;1;1;262;279;NA;NA;NA;1;1;1;4;4;6;F1;11_693;11_694;11_694_2006;11
CHOR11;11;2012;694;101;95.3;91.5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_694;11_694;11_694_2012;44
CHOR11;11;2006;695;121;98.1;99.7;3;7;256;254;NA;NA;NA;NA;NA;NA;NA;NA;NA;F4;11_694;11_695;11_695_2006;37
CHOR11;11;2012;695;121;98.1;99.7;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_695;11_695;11_695_2012;99
CHOR11;11;2006;696;411;NA;NA;1;1;90;90;NA;NA;NA;3;2;3;5;6;4;F2;11_695;11_696;11_696_2006;11
CHOR11;11;2012;696;411;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_696;11_696;11_696_2012;44
CHOR11;11;2006;697;411;NA;NA;1;1;88;91;NA;NA;NA;3;2;3;5;6;4;F2;11_696;11_697;11_697_2006;11
CHOR11;11;2012;697;411;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_697;11_697;11_697_2012;44
CHOR11;11;2006;698;411;NA;NA;1;1;86;88;NA;NA;NA;3;3;3;6;6;4;K1;11_697;11_698;11_698_2006;11
CHOR11;11;2012;698;411;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_698;11_698;11_698_2012;44
CHOR11;11;2006;699;411;NA;NA;1;1;113;120;NA;NA;NA;3;2;3;5;6;4;;11_698;11_699;11_699_2006;11
CHOR11;11;2012;699;411;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_699;11_699;11_699_2012;44
CHOR11;11;2006;700;411;NA;NA;1;1;213;220;NA;NA;NA;2;2;2;5;5;4;P4;11_699;11_700;11_700_2006;11
CHOR11;11;2012;700;411;NA;NA;1;1;232;235;NA;NA;NA;2;1;1;5;6;4;G2-2;11_700;11_700;11_700_2012;11
CHOR11;11;2006;701;411;NA;NA;1;1;146;150;NA;NA;NA;3;3;3;6;6;4;F2;11_700;11_701;11_701_2006;11
CHOR11;11;2012;701;411;NA;NA;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;11_701;11_701;11_701_2012;44
CHOR12;12;2006;1;101;91.4;4;1;1;269;295;NA;NA;NA;1;2;2;5;5;6;;11_701;12_1;12_1_2006;11
CHOR12;12;2012;1;101;91.4;4;1;1;270;300;NA;NA;NA;1;2;3;5;5;6;;12_1;12_1;12_1_2012;11
CHOR12;12;2006;2;121;97.5;2.5;3;7;287;288;NA;NA;NA;NA;NA;NA;NA;6;NA;;12_1;12_2;12_2_2006;37
CHOR12;12;2012;2;121;97.5;2.5;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;12_2;12_2;12_2_2012;99
CHOR12;12;2006;3;101;92.2;6.3;1;1;326;333;NA;NA;NA;1;2;1;4;4;6;;12_2;12_3;12_3_2006;11
CHOR12;12;2012;3;101;92.2;6.3;1;1;330;335;NA;NA;NA;1;2;2;5;4;6;G1;12_3;12_3;12_3_2012;11
CHOR12;12;2006;4;121;91.3;8.3;1;1;495;455;NA;NA;NA;1;1;1;4;4;6;;12_3;12_4;12_4_2006;11
CHOR12;12;2012;4;121;91.3;8.3;1;1;500;452;NA;NA;NA;1;1;1;4;4;6;;12_4;12_4;12_4_2012;11
CHOR12;12;2006;5;121;97.6;3.7;1;1;294;293;NA;NA;NA;2;2;2;4;5;5;;12_4;12_5;12_5_2006;11
CHOR12;12;2012;5;121;97.6;3.7;1;1;295;295;NA;NA;NA;1;1;2;4;5;5;;12_5;12_5;12_5_2012;11
CHOR12;12;2006;6;121;98.2;0.6;1;1;355;348;NA;NA;NA;1;1;1;4;4;4;;12_5;12_6;12_6_2006;11
CHOR12;12;2012;6;121;98.2;0.6;1;1;360;350;NA;NA;NA;1;1;1;4;4;6;;12_6;12_6;12_6_2012;11
CHOR12;12;2006;7;121;99.7;0.8;1;1;430;433;NA;NA;NA;1;3;1;4;4;5;P3;12_6;12_7;12_7_2006;11
CHOR12;12;2012;7;121;99.7;0.8;1;1;432;435;NA;NA;NA;1;1;1;4;4;6;;12_7;12_7;12_7_2012;11
CHOR12;12;2006;8;121;97.2;5.3;1;1;412;398;NA;NA;NA;1;2;1;5;5;6;F2 ;12_7;12_8;12_8_2006;11
CHOR12;12;2012;8;121;97.2;5.3;1;1;415;400;NA;NA;NA;1;1;1;4;4;6;;12_8;12_8;12_8_2012;11
CHOR12;12;2006;9;101;98.3;1;1;1;574;573;NA;NA;NA;1;1;1;4;4;6;;12_8;12_9;12_9_2006;11
CHOR12;12;2012;9;101;98.3;1;1;1;578;578;NA;NA;NA;1;1;1;4;4;6;;12_9;12_9;12_9_2012;11
CHOR12;12;2006;10;121;81.4;5.9;1;1;436;466;NA;NA;NA;1;1;1;4;4;6;;12_9;12_10;12_10_2006;11
CHOR12;12;2012;10;121;81.4;5.9;1;1;440;470;NA;NA;NA;1;1;1;4;4;6;;12_10;12_10;12_10_2012;11
