f_id;aj;bnr;ba;ach;dec;d1;d2;d mit;P;ic1;ic2;ic3;ic4;ic5;ic6;H;kag;d7;bem1;bem2;bem3;nach bnr;
12;2018;329;411;3;8;66;62;64;;;;;;;;3.7;;;F4;;;328;
12;2018;330;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;331;101;9;9;;;0;;;;;;;;;;;;;;;
12;2018;332;101;1;1;609;563;586;;1;1;1;4;4;6;;;;;;;326;
12;2018;333;411;1;1;185;202;194;;2;1;2;5;6;4;;;;;;;334;
12;2018;334;411;1;1;127;129;128;;3;2;3;5;6;4;;;;G51;;;337;
12;2018;335;101;1;1;469;462;466;;1;1;1;4;4;6;;;;;;;332;
12;2018;336;101;1;1;517;549;533;;1;1;1;4;4;6;;;;;;;335;
12;2018;337;101;9;7;105;105;105;;;;;;;;;;;;;;336;
12;2018;338;101;1;1;305;320;313;P;1;1;2;4;4;6;33.3;20.7;27;;;;333;
12;2018;339;101;1;1;416;432;424;;1;1;1;4;4;6;;;;;;;338;
12;2018;340;101;1;1;454;464;459;;1;1;1;4;4;5;;;;;;;339;
12;2018;341;101;9;7;150;149;150;;;;;;;;;;;;;;342;
12;2018;342;411;1;1;64;71;68;;3;2;3;5;6;4;;;;;;;340;
12;2018;343;411;1;1;117;107;112;;3;1;2;5;6;4;;;;;;;350;
12;2018;344;101;1;1;505;507;506;;1;1;1;4;4;6;;;;A4;;;341;
12;2018;345;411;1;1;116;111;114;;3;1;3;5;6;4;;;;F2;;;343;
12;2018;346;411;1;1;114;119;117;;3;1;1;5;6;4;;;;;;;344;
12;2018;347;101;9;7;282;288;285;;;;;;;;;;;;;;345;
12;2018;348;411;1;1;86;97;92;;3;1;2;5;6;4;;;;;;;346;
12;2018;350;101;9;8;229;231;230;;;;;;;;13;;;;;;351;
12;2018;351;101;1;1;407;426;417;;1;1;1;4;4;6;;;;;;;348;
12;2018;352;101;1;1;341;332;337;;1;1;2;5;5;6;;;;S01;;;353;
12;2018;353;101;1;1;603;621;612;;1;1;1;4;4;6;;;;;;;347;
12;2018;354;101;9;7;164;175;170;;;;;;;;;;;;;;350;
12;2018;355;101;1;1;425;447;436;;1;1;1;4;4;6;;;;;;;352;
12;2018;356;101;1;1;509;501;505;;1;1;1;4;4;6;;;;;;;354;
12;2018;357;101;1;1;462;472;467;;1;1;1;4;4;6;;;;;;;358;
12;2018;358;411;1;1;129;131;130;;3;3;3;5;6;4;;;;G22;;;356;
